,grain0minZ
995,-0.57452273
996,-0.57452273
997,-0.57452273
998,-0.57452273
999,-0.57452273
1000,-0.57452273
1001,-0.57452273
1002,-0.57452273
1003,-0.57452273
1004,-0.57452273
1005,-0.57452273
1006,-0.57452273
1007,-0.57452273
1008,-0.57452273
1009,-0.57452273
1010,-0.57452273
1011,-0.57452273
1012,-0.57452273
1013,-0.57452273
1014,-0.57452273
1015,-0.57452273
1016,-0.57452273
1017,-0.57452273
1018,-0.57452273
1019,-0.57452273
1020,-0.57452273
1021,-0.57452273
1022,-0.57452273
1023,-0.57452273
1024,-0.57452273
1025,-0.57452273
1026,-0.57452273
1027,-0.57452273
1028,-0.57452273
1029,-0.57452273
1030,-0.57452273
1031,-0.57452273
1032,-0.57452273
1033,-0.57452273
1034,-0.57452273
1035,-0.57452273
1036,-0.57452273
1037,-0.57452273
1038,-0.57452273
1039,-0.57452273
1040,-0.57452273
1041,-0.57452273
1042,-0.57452273
1043,-0.57452273
1044,-0.57452273
1045,-0.57452273
1046,-0.57452273
1047,-0.57452273
1048,-0.57452273
1049,-0.57452273
1050,-0.57452273
1051,-0.57452273
1052,-0.57452273
1053,-0.57452273
1054,-0.57452273
1055,-0.57452273
1056,-0.57452273
1057,-0.57452273
1058,-0.57452273
1059,-0.57452273
1060,-0.57452273
1061,-0.57452273
1062,-0.57452273
1063,-0.57452273
1064,-0.57452273
1065,-0.57452273
1066,-0.57452273
1067,-0.57452273
1068,-0.57452273
1069,-0.57452273
1070,-0.57452273
1071,-0.57452273
1072,-0.57452273
1073,-0.57452273
1074,-0.57452273
1075,-0.57452273
1076,-0.57452273
1077,-0.57452273
1078,-0.57452273
1079,-0.57452273
1080,-0.57452273
